Study_ID,Analysis_Split,Records_in_historical_906,Author_Year,Year,DOI_or_Link,Persistent_identifier_status,Canonical_Title_v35,Canonical_DOI_v35,Alignment_Status_v35,Evidence_URL_v35,Experiments_n,Records_n,Collection_methods,CLEAR_records,TRACEABLE_CAVEAT_records,REVIEW_FLAG_records,Best_Available_Title,Best_Available_Source_Identifier,Best_Identifier_Source,External_Verification_Date,Metadata_note
GarciaContreras2025_Animals,confirmation,3,Garcia-Contreras_2025,2025,https://doi.org/10.3390/ani15060780,available_in_V44_study_index,"Effects of Dietary Inclusion of Avocado Seeds on Performance, Nutrient Digestibility, Plasma Biochem",10.3390/ani15060780,SOURCE_VERIFIED_V33,https://doi.org/10.3390/ani15060780,1,3,total collection,0,0,3,,https://doi.org/10.3390/ani15060780,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Hauschild2008_ABMVZ,confirmation,3,Hauschild_2008,2008,Arq. Bras. Med. Vet. Zootec. 60:470-476,available_in_V44_study_index,Utilização do triticale e de enzimas em dietas para suínos: digestibilidade e metabolismo,10.1590/S0102-09352008000200029,EXTERNALLY_VERIFIED,https://doi.org/10.1590/S0102-09352008000200029,1,3,total collection in metabolism cages,0,0,3,Utilização do triticale e de enzimas em dietas para suínos: digestibilidade e metabolismo,Arq. Bras. Med. Vet. Zootec. 60:470-476,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Hellwing2007_BPMPig,confirmation,4,Hellwing2007_BPMPig,2007,https://doi.org/10.1017/S1751731107283879,available_in_V44_study_index,Bacterial protein meal in diets for growing pigs: effects on protein and energy metabolism,10.1017/S1751731107283879,EXTERNALLY_VERIFIED,https://doi.org/10.1017/S1751731107283879,1,4,,0,0,4,Bacterial protein meal in diets for growing pigs: effects on protein and energy metabolism,https://doi.org/10.1017/S1751731107283879,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Hlongwana2021_TAHP,confirmation,5,Hlongwana_2021,2021,https://doi.org/10.1007/s11250-021-02808-x,available_in_V44_study_index,Nitrogen balance in slow‑growing Windsnyer pigs fed on incremental levels of amarula ( Sclerocarya birrea ) nut cake,10.1007/s11250-021-02808-x,SOURCE_VERIFIED_V33,https://doi.org/10.1007/s11250-021-02808-x,1,5,total collection after 31 d feeding,0,0,5,,https://doi.org/10.1007/s11250-021-02808-x,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Humphrey2022_JAS_BenzoicAcid,confirmation,4,Humphrey_2022,2022,10.1093/jas/skac296,available_in_V44_study_index,,,,,1,4,,0,4,0,,10.1093/jas/skac296,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Jin2010_AAJS,confirmation,5,Jin_2010,2010,,not_available_in_V44_study_index,"Effect of Dietary Lysine Restriction and Energy Density on Performance, Nutrient Digestibility and Meat Quality in Finishing Pigs",10.5713/ajas.2010.90585,EXTERNALLY_VERIFIED,https://doi.org/10.5713/ajas.2010.90585,1,5,total collection in metabolic crates; 7 d adaptation + 5 d collection,0,5,0,"Effect of Dietary Lysine Restriction and Energy Density on Performance, Nutrient Digestibility and Meat Quality in Finishing Pigs",10.5713/ajas.2010.90585,v35_verified_metadata_registry,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Kampman2015_BJN,confirmation,4,Kampman-van_de_Hoek_2015,2015,https://doi.org/10.1017/S0007114514003821,available_in_V44_study_index,Induced lung inflammation and dietary protein supply affect nitrogen retention and amino acid metabolism in growing pigs,10.1017/S0007114514003821,EXTERNALLY_VERIFIED,https://doi.org/10.1017/S0007114514003821,1,4,total collection,0,0,4,Induced lung inflammation and dietary protein supply affect nitrogen retention and amino acid metabolism in growing pigs,https://doi.org/10.1017/S0007114514003821,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Kwon2019_JAS,confirmation,5,Kwon_2019,2019,https://doi.org/10.1093/jas/skz259,available_in_V44_study_index,"Excess dietary leucine in diets for growing pigs reduces growth performance, biological",10.1093/jas/skz259,SOURCE_VERIFIED_V33,https://doi.org/10.1093/jas/skz259,1,5,5-d total urine/feces collection in metabolism crates,0,5,0,,https://doi.org/10.1093/jas/skz259,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Kwon2019_LeuExcess,confirmation,5,Kwon_2019,2019,https://doi.org/10.1093/jas/skz259,available_in_V44_study_index,,,,,1,5,7-d adaptation + 5-d total feces/urine collection,0,0,5,,https://doi.org/10.1093/jas/skz259,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Lee2024_Animals_BLM,confirmation,3,Lee_2024,2024,https://doi.org/10.3390/ani14111692,available_in_V44_study_index,"Pelleting and particle size reduction of corn increase net energy and digestibility of fiber, protei",10.3390/ani14111692,SOURCE_VERIFIED_V33,https://doi.org/10.3390/ani14111692,1,3,metabolic cage total collection,0,3,0,,https://doi.org/10.3390/ani14111692,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Li2024_JASB_GlucoseRelease,confirmation,4,Li_2024,2024,10.1186/s40104-024-01000-z,available_in_V44_study_index,,,,,1,4,,0,4,0,,10.1186/s40104-024-01000-z,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Litvak2013_JAS,confirmation,15,Litvak_2013,2013,https://doi.org/10.2527/jas2012-6160,available_in_V44_study_index,Immune system stimulation increases the optimal dietary methionine to methionine plus cysteine ratio in growing pigs,10.2527/jas.2012-6160,SOURCE_VERIFIED_V33,https://doi.org/10.2527/jas.2012-6160,1,15,total collection,0,15,0,,https://doi.org/10.2527/jas2012-6160,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Liu2009_LivSci,confirmation,2,Liu_2009,2009,https://doi.org/10.1016/j.livsci.2008.07.027,available_in_V44_study_index,Effects of dietary cysteamine supplementation on growth performance and whole-body protein turnover in finishing pigs,10.1016/j.livsci.2008.07.027,EXTERNALLY_VERIFIED,https://doi.org/10.1016/j.livsci.2008.07.027,1,2,3-d adaptation + 7-d nitrogen balance,0,0,2,Effects of dietary cysteamine supplementation on growth performance and whole-body protein turnover in finishing pigs,https://doi.org/10.1016/j.livsci.2008.07.027,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Liu2024_SciRep,confirmation,3,Liu_2024,2024,https://doi.org/10.1038/s41598-024-58832-y,available_in_V44_study_index,"Effects of Lactobacillus-fermented low-protein diets on the growth performance, nitrogen excretion,",10.1038/s41598-024-58832-y,SOURCE_VERIFIED_V33,https://doi.org/10.1038/s41598-024-58832-y,1,3,total feces and urine collection,3,0,0,,https://doi.org/10.1038/s41598-024-58832-y,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Lynch2007_Animal_BetaGlucan,confirmation,4,Lynch_2007a,2007,https://doi.org/10.1017/S1751731107000158,available_in_V44_study_index,"Effects of increasing the intake of dietary β-glucans by exchanging wheat for barley on nutrient digestibility, nitrogen excretion, intestinal microflora, volatile fatty acid concentration and manure ammonia emissions in finishing pigs",10.1017/S1751731107000158,EXTERNALLY_VERIFIED,https://doi.org/10.1017/S1751731107000158,1,4,total collection in metabolism crates,0,0,4,"Effects of increasing the intake of dietary β-glucans by exchanging wheat for barley on nutrient digestibility, nitrogen excretion, intestinal microflora, volatile fatty acid concentration and manure ammonia emissions in finishing pigs",https://doi.org/10.1017/S1751731107000158,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Lynch2007_LivSci,confirmation,4,Lynch_2007,2007,https://doi.org/10.1016/j.livsci.2007.01.131,available_in_V44_study_index,The effect of dietary crude protein concentration and inulin supplementation on nitrogen excretion and intestinal microflora from finisher pigs,10.1016/j.livsci.2007.01.131,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.livsci.2007.01.131,1,4,dietary adaptation followed by total feces and urine collection as described for nitrogen balance,0,0,4,,https://doi.org/10.1016/j.livsci.2007.01.131,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Mathai2016_JAS,confirmation,8,Mathai_2016,2016,https://doi.org/10.2527/jas2016-0680; https://doi.org/10.2527/jas.2016-0680,available_in_V44_study_index,Effects of dietary fiber on the ideal standardized ileal digestible threonine:lysine ratio for twenty-five to fifty kilogram growing gilts,10.2527/jas.2016-0680,SOURCE_VERIFIED_V33,https://doi.org/10.2527/jas.2016-0680,1,8,total collection in metabolism crates; total collection; 5 d collection after 7 d adaptation,0,4,4,,https://doi.org/10.2527/jas2016-0680; https://doi.org/10.2527/jas.2016-0680,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
McDonnell2010_AAN,confirmation,4,McDonnell_2010,2010,https://doi.org/10.1080/1745039X.2010.496947,available_in_V44_study_index,"Influence of incrementally substituting dietary soya bean meal for rapeseed meal on nutrient digestibility, nitrogen excretion, growth performance and ammonia emissions from growing-finishing pigs",10.1080/1745039X.2010.496947,EXTERNALLY_VERIFIED,https://doi.org/10.1080/1745039X.2010.496947,1,4,total collection,0,0,4,"Influence of incrementally substituting dietary soya bean meal for rapeseed meal on nutrient digestibility, nitrogen excretion, growth performance and ammonia emissions from growing-finishing pigs",https://doi.org/10.1080/1745039X.2010.496947,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Niyonsaba2023_AB_LowCP,confirmation,6,Niyonsaba_2023,2023,https://doi.org/10.5713/ab.23.0155,available_in_V44_study_index,"Effect of reducing dietary crude protein level on growth performance, blood profiles, nutrient digestibility, carcass traits, and odor emissions in growing-finishing pigs",10.5713/ab.23.0155,EXTERNALLY_VERIFIED,https://doi.org/10.5713/ab.23.0155,1,6,total collection,0,6,0,"Effect of reducing dietary crude protein level on growth performance, blood profiles, nutrient digestibility, carcass traits, and odor emissions in growing-finishing pigs",https://doi.org/10.5713/ab.23.0155,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Panaite2025_Agriculture_Peas,confirmation,3,Panaite_2025,2025,10.3390/agriculture15080897,available_in_V44_study_index,,,,,1,3,,3,0,0,,10.3390/agriculture15080897,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Qi2025_Animals_SongliaoBlack,confirmation,2,Qi_2025,2025,,not_available_in_V44_study_index,,,,,1,2,,0,2,0,Research on Energy Supply Optimization of Diets for Songliao Black Growing and Fattening Pigs at a Low Ambient Temperature,10.3390/ani15060846,publisher_metadata_2026-09-22,2026-09-22,"Study identity retained from the historical analysis matrix and independently resolved against publisher/journal metadata on 2026-09-22. This provenance enrichment does not alter any analysis value, split, or model result."
Rachuonyo2015_RMCP,confirmation,2,Rachuonyo_2015,2015,,not_available_in_V44_study_index,"Nitrogen balance, ammonia and odor emissions in growing pigs fed reduced protein diets",10.22319/rmcp.v6i2.4056,EXTERNALLY_VERIFIED,https://doi.org/10.22319/rmcp.v6i2.4056,1,2,metabolism crate total collection,2,0,0,"Nitrogen balance, ammonia and odor emissions in growing pigs fed reduced protein diets",10.22319/rmcp.v6i2.4056,v35_verified_metadata_registry,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Rachuonyo2015_RevMex_LowProtein,confirmation,2,Rachuonyo_2015,2015,NO_DOI_primary_fulltext_local_v42,available_in_V44_study_index,,,,,1,2,,0,0,2,,NO_DOI_primary_fulltext_local_v42,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Rizzi2007_ItalJAnimSci,confirmation,4,Rizzi_2007,2007,,not_available_in_V44_study_index,Digestibility and nitrogen balance of diets containing non conventional vegetable proteins fed to pigs of genetic strains suitable for outdoor systems,10.4081/ijas.2007.1s.353,EXTERNALLY_VERIFIED,https://doi.org/10.4081/ijas.2007.1s.353,1,4,metabolism cages total collection; Latin square; diet main effect,0,0,4,Digestibility and nitrogen balance of diets containing non conventional vegetable proteins fed to pigs of genetic strains suitable for outdoor systems,10.4081/ijas.2007.1s.353,v35_verified_metadata_registry,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Shuai2023_AnimNutr,confirmation,3,Shuai_2023,2023,https://doi.org/10.1016/j.aninu.2023.06.011,available_in_V44_study_index,"Effect of fermented rapeseed meal on growth performance, nutrient digestibility, and intestinal heal",10.1016/j.aninu.2023.06.011,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.aninu.2023.06.011,1,3,total feces and urine collection,0,3,0,,https://doi.org/10.1016/j.aninu.2023.06.011,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Shui2026_VetSci_DiversifiedLP,confirmation,4,Shui_2026,2026,10.3390/vetsci13030219,available_in_V44_study_index,,,,,1,4,,4,0,0,,10.3390/vetsci13030219,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority. No canonical title was carried forward here because the same Study_ID was not present in the v35 title registry; use Author_Year and DOI/link where available.
Susenbeth2011_AAN,confirmation,3,Susenbeth_2011,2011,https://doi.org/10.1080/1745039X.2010.534896,available_in_V44_study_index,"Effect of xylanase and glucanase supplementation to a cereal-based, threonine-limited diet on the nitrogen balance of growing pigs",10.1080/1745039x.2010.534896,SOURCE_VERIFIED_V33,https://doi.org/10.1080/1745039x.2010.534896,1,3,total collection,0,0,3,,https://doi.org/10.1080/1745039X.2010.534896,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Tian2016_AJAS,confirmation,3,Tian_2016,2016,10.5713/ajas.15.0730,available_in_V44_study_index,"Effect of L- or DL-methionine Supplementation on Nitrogen Retention, Serum Amino Acid Concentrations",10.5713/ajas.15.0730,SOURCE_VERIFIED_V33,https://doi.org/10.5713/ajas.15.0730,1,3,total collection,3,0,0,,10.5713/ajas.15.0730,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Wellington2020_JAS,confirmation,4,Wellington_2020,2020,https://doi.org/10.1093/jas/skaa378,available_in_V44_study_index,"Effect of long-term feeding of graded levels of deoxynivalenol (DON) on growth performance, nutrient",10.1093/jas/skaa378,SOURCE_VERIFIED_V33,https://doi.org/10.1093/jas/skaa378,1,4,total collection,0,4,0,,https://doi.org/10.1093/jas/skaa378,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Wellington2021_DON,confirmation,8,Wellington_2021,2021,https://doi.org/10.1093/jas/skab109,available_in_V44_study_index,"Effect of long-term feeding of graded levels of deoxynivalenol on performance, nutrient",10.1093/jas/skab109,SOURCE_VERIFIED_V33,https://doi.org/10.1093/jas/skab109,2,8,metabolism crate total collection,0,8,0,,https://doi.org/10.1093/jas/skab109,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Wu2008_AJAS,confirmation,5,Wu_2008,2008,,not_available_in_V44_study_index,True Digestibility of Phosphorus in Different Resources of Feed Ingredients in Growing Pigs,10.5713/ajas.2008.70143,SOURCE_VERIFIED_V33,https://doi.org/10.5713/ajas.2008.70143,1,5,reported balance / method detail unclear,5,0,0,,10.5713/ajas.2008.70143,v35_verified_metadata_registry,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Wu2023_Animal,confirmation,8,Wu_2023,2023,https://doi.org/10.1016/j.animal.2023.100869,available_in_V44_study_index,"Effects of dietary niacinamide and CP concentrations on the nitrogen excretion, growth performance,",10.1016/j.animal.2023.100869,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.animal.2023.100869,2,8,total collection,0,0,8,,https://doi.org/10.1016/j.animal.2023.100869,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Yoo2024_AnimBiosci_BA,confirmation,6,Yoo_2024a,2024,https://doi.org/10.5713/ab.24.0216,available_in_V44_study_index,"Effects of benzoic acid in pig diets on nitrogen utilization, urinary pH, slurry pH, and odorous com",10.5713/ab.24.0216,SOURCE_VERIFIED_V33,https://doi.org/10.5713/ab.24.0216,1,6,total collection,0,0,6,,https://doi.org/10.5713/ab.24.0216,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Zangeronimo2007_RBZ,confirmation,8,Zangeronimo_2007,2007,,not_available_in_V44_study_index,Desempenho e excreção de nitrogênio de leitões dos 9 aos 25 kg alimentados com dietas com diferentes níveis de lisina digestível e proteína bruta,10.1590/S1516-35982007000600022,EXTERNALLY_VERIFIED,https://doi.org/10.1590/S1516-35982007000600022,1,8,total collection in metabolism cages,0,8,0,Desempenho e excreção de nitrogênio de leitões dos 9 aos 25 kg alimentados com dietas com diferentes níveis de lisina digestível e proteína bruta,10.1590/S1516-35982007000600022,v35_verified_metadata_registry,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Zhai2025_LivSci,confirmation,6,Zhai_2025,2025,https://doi.org/10.1016/j.livsci.2025.105678,available_in_V44_study_index,Phytase appeared to counterbalance the inimical effect on N balance of acidosis associated with disp,10.1016/j.livsci.2025.105678,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.livsci.2025.105678,1,6,total collection,0,6,0,,https://doi.org/10.1016/j.livsci.2025.105678,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Zhang2022_AnimNutr_AARelease,confirmation,4,Zhang_2022,2022,,not_available_in_V44_study_index,,,,,1,4,,0,4,0,Relationship between dietary amino acid release kinetics and nitrogen deposition in growing pigs,10.1016/j.aninu.2022.01.001,publisher_metadata_2026-09-22,2026-09-22,"Study identity retained from the historical analysis matrix and independently resolved against publisher/journal metadata on 2026-09-22. This provenance enrichment does not alter any analysis value, split, or model result."
Zhang2022_JASB_StarchPatterns,confirmation,5,Zhang_2022,2022,,not_available_in_V44_study_index,,,,,1,5,,0,5,0,"Different dietary starch patterns in low-protein diets: effect on nitrogen efficiency, nutrient metabolism, and intestinal flora in growing pigs",10.1186/s40104-022-00704-4,publisher_metadata_2026-09-22,2026-09-22,"Study identity retained from the historical analysis matrix and independently resolved against publisher/journal metadata on 2026-09-22. This provenance enrichment does not alter any analysis value, split, or model result."
