Realization,Budget,Rank,Source_unit,Ingredient_Class
4,12,6,Barley::RealV6_大麦_sample3,Barley
4,12,7,Rice bran::RealV6_米糠_sample4,Rice bran
4,12,8,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
4,12,9,Paddy rice::RealV6_稻谷_sample8,Paddy rice
4,12,10,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
4,12,11,Sorghum::RealV6_高粱_sample1,Sorghum
4,12,12,Rice bran::RealV6_米糠_sample7,Rice bran
5,3,1,Barley::RealV6_大麦_sample9,Barley
5,3,2,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
5,3,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
5,6,1,Barley::RealV6_大麦_sample9,Barley
5,6,2,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
5,6,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
5,6,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
5,6,5,Sorghum::RealV6_高粱_sample9,Sorghum
5,6,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
5,9,1,Barley::RealV6_大麦_sample9,Barley
5,9,2,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
5,9,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
5,9,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
5,9,5,Sorghum::RealV6_高粱_sample9,Sorghum
5,9,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
5,9,7,Sorghum::RealV6_高粱_sample5,Sorghum
5,9,8,Paddy rice::RealV6_稻谷_sample3,Paddy rice
5,9,9,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
5,12,1,Barley::RealV6_大麦_sample9,Barley
5,12,2,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
5,12,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
5,12,4,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
5,12,5,Sorghum::RealV6_高粱_sample9,Sorghum
5,12,6,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
5,12,7,Sorghum::RealV6_高粱_sample5,Sorghum
5,12,8,Paddy rice::RealV6_稻谷_sample3,Paddy rice
5,12,9,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
5,12,10,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
5,12,11,Cassava::RealV6_木薯_sample6,Cassava
5,12,12,Brown rice::RealV6_糙米_sample1,Brown rice
6,3,1,Paddy rice::RealV6_稻谷_sample3,Paddy rice
6,3,2,Cassava::RealV6_木薯_sample3,Cassava
6,3,3,Sorghum::RealV6_高粱_sample4,Sorghum
6,6,1,Paddy rice::RealV6_稻谷_sample3,Paddy rice
6,6,2,Cassava::RealV6_木薯_sample3,Cassava
6,6,3,Sorghum::RealV6_高粱_sample4,Sorghum
6,6,4,Barley::RealV6_大麦_sample2,Barley
6,6,5,Paddy rice::RealV6_稻谷_sample4,Paddy rice
6,6,6,Rice bran::RealV6_米糠_sample8,Rice bran
6,9,1,Paddy rice::RealV6_稻谷_sample3,Paddy rice
6,9,2,Cassava::RealV6_木薯_sample3,Cassava
6,9,3,Sorghum::RealV6_高粱_sample4,Sorghum
6,9,4,Barley::RealV6_大麦_sample2,Barley
6,9,5,Paddy rice::RealV6_稻谷_sample4,Paddy rice
6,9,6,Rice bran::RealV6_米糠_sample8,Rice bran
6,9,7,Wheat::RealV6_小麦_sample6,Wheat
6,9,8,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
6,9,9,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
6,12,1,Paddy rice::RealV6_稻谷_sample3,Paddy rice
6,12,2,Cassava::RealV6_木薯_sample3,Cassava
6,12,3,Sorghum::RealV6_高粱_sample4,Sorghum
6,12,4,Barley::RealV6_大麦_sample2,Barley
6,12,5,Paddy rice::RealV6_稻谷_sample4,Paddy rice
6,12,6,Rice bran::RealV6_米糠_sample8,Rice bran
6,12,7,Wheat::RealV6_小麦_sample6,Wheat
6,12,8,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
6,12,9,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
6,12,10,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
6,12,11,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
6,12,12,Paddy rice::RealV6_稻谷_sample8,Paddy rice
7,3,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
7,3,2,Wheat::RealV6_小麦_sample7,Wheat
7,3,3,Paddy rice::RealV6_稻谷_sample3,Paddy rice
7,6,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
7,6,2,Wheat::RealV6_小麦_sample7,Wheat
7,6,3,Paddy rice::RealV6_稻谷_sample3,Paddy rice
7,6,4,Cassava::RealV6_木薯_sample6,Cassava
7,6,5,Cassava::RealV6_木薯_sample4,Cassava
7,6,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
7,9,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
7,9,2,Wheat::RealV6_小麦_sample7,Wheat
7,9,3,Paddy rice::RealV6_稻谷_sample3,Paddy rice
7,9,4,Cassava::RealV6_木薯_sample6,Cassava
7,9,5,Cassava::RealV6_木薯_sample4,Cassava
7,9,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
7,9,7,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
7,9,8,Sorghum::RealV6_高粱_sample7,Sorghum
7,9,9,Wheat::RealV6_小麦_sample6,Wheat
7,12,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
7,12,2,Wheat::RealV6_小麦_sample7,Wheat
7,12,3,Paddy rice::RealV6_稻谷_sample3,Paddy rice
7,12,4,Cassava::RealV6_木薯_sample6,Cassava
7,12,5,Cassava::RealV6_木薯_sample4,Cassava
7,12,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
7,12,7,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
7,12,8,Sorghum::RealV6_高粱_sample7,Sorghum
7,12,9,Wheat::RealV6_小麦_sample6,Wheat
7,12,10,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
7,12,11,Paddy rice::RealV6_稻谷_sample9,Paddy rice
7,12,12,Paddy rice::RealV6_稻谷_sample7,Paddy rice
8,3,1,Barley::RealV6_大麦_sample4,Barley
8,3,2,Wheat::RealV6_小麦_sample8,Wheat
8,3,3,Paddy rice::RealV6_稻谷_sample11,Paddy rice
8,6,1,Barley::RealV6_大麦_sample4,Barley
8,6,2,Wheat::RealV6_小麦_sample8,Wheat
8,6,3,Paddy rice::RealV6_稻谷_sample11,Paddy rice
8,6,4,Brown rice::RealV6_糙米_sample1,Brown rice
8,6,5,Brown rice::RealV6_糙米_sample7,Brown rice
8,6,6,Barley::RealV6_大麦_sample3,Barley
8,9,1,Barley::RealV6_大麦_sample4,Barley
8,9,2,Wheat::RealV6_小麦_sample8,Wheat
8,9,3,Paddy rice::RealV6_稻谷_sample11,Paddy rice
8,9,4,Brown rice::RealV6_糙米_sample1,Brown rice
8,9,5,Brown rice::RealV6_糙米_sample7,Brown rice
8,9,6,Barley::RealV6_大麦_sample3,Barley
8,9,7,Barley::RealV6_大麦_sample2,Barley
8,9,8,Sorghum::RealV6_高粱_sample8,Sorghum
8,9,9,Barley::RealV6_大麦_sample5,Barley
8,12,1,Barley::RealV6_大麦_sample4,Barley
8,12,2,Wheat::RealV6_小麦_sample8,Wheat
8,12,3,Paddy rice::RealV6_稻谷_sample11,Paddy rice
8,12,4,Brown rice::RealV6_糙米_sample1,Brown rice
8,12,5,Brown rice::RealV6_糙米_sample7,Brown rice
8,12,6,Barley::RealV6_大麦_sample3,Barley
8,12,7,Barley::RealV6_大麦_sample2,Barley
8,12,8,Sorghum::RealV6_高粱_sample8,Sorghum
8,12,9,Barley::RealV6_大麦_sample5,Barley
8,12,10,Brown rice::RealV6_糙米_sample2,Brown rice
8,12,11,Sorghum::RealV6_高粱_sample10,Sorghum
8,12,12,Paddy rice::RealV6_稻谷_sample6,Paddy rice
9,3,1,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
9,3,2,Cassava::RealV6_木薯_sample6,Cassava
9,3,3,Rice bran::RealV6_米糠_sample4,Rice bran
9,6,1,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
9,6,2,Cassava::RealV6_木薯_sample6,Cassava
9,6,3,Rice bran::RealV6_米糠_sample4,Rice bran
9,6,4,Paddy rice::RealV6_稻谷_sample2,Paddy rice
9,6,5,Sorghum::RealV6_高粱_sample2,Sorghum
9,6,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
9,9,1,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
9,9,2,Cassava::RealV6_木薯_sample6,Cassava
9,9,3,Rice bran::RealV6_米糠_sample4,Rice bran
9,9,4,Paddy rice::RealV6_稻谷_sample2,Paddy rice
9,9,5,Sorghum::RealV6_高粱_sample2,Sorghum
9,9,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
9,9,7,Sorghum::RealV6_高粱_sample10,Sorghum
9,9,8,Wheat::RealV6_小麦_sample9,Wheat
9,9,9,Wheat::RealV6_小麦_sample7,Wheat
9,12,1,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
9,12,2,Cassava::RealV6_木薯_sample6,Cassava
9,12,3,Rice bran::RealV6_米糠_sample4,Rice bran
9,12,4,Paddy rice::RealV6_稻谷_sample2,Paddy rice
9,12,5,Sorghum::RealV6_高粱_sample2,Sorghum
9,12,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
9,12,7,Sorghum::RealV6_高粱_sample10,Sorghum
9,12,8,Wheat::RealV6_小麦_sample9,Wheat
9,12,9,Wheat::RealV6_小麦_sample7,Wheat
9,12,10,Wheat::RealV6_小麦_sample10,Wheat
9,12,11,Barley::RealV6_大麦_sample7,Barley
9,12,12,Wheat bran::RealV6_小麦麸_sample9,Wheat bran
10,3,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
10,3,2,Brown rice::RealV6_糙米_sample9,Brown rice
10,3,3,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
10,6,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
10,6,2,Brown rice::RealV6_糙米_sample9,Brown rice
10,6,3,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
10,6,4,Brown rice::RealV6_糙米_sample1,Brown rice
10,6,5,Cassava::RealV6_木薯_sample9,Cassava
10,6,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
10,9,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
10,9,2,Brown rice::RealV6_糙米_sample9,Brown rice
10,9,3,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
10,9,4,Brown rice::RealV6_糙米_sample1,Brown rice
10,9,5,Cassava::RealV6_木薯_sample9,Cassava
10,9,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
10,9,7,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
10,9,8,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
10,9,9,Cassava::RealV6_木薯_sample4,Cassava
10,12,1,Rapeseed cake::RealV6_菜籽饼_sample4,Rapeseed cake
10,12,2,Brown rice::RealV6_糙米_sample9,Brown rice
10,12,3,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
10,12,4,Brown rice::RealV6_糙米_sample1,Brown rice
10,12,5,Cassava::RealV6_木薯_sample9,Cassava
10,12,6,Paddy rice::RealV6_稻谷_sample1,Paddy rice
10,12,7,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
10,12,8,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
10,12,9,Cassava::RealV6_木薯_sample4,Cassava
10,12,10,Barley::RealV6_大麦_sample2,Barley
10,12,11,Cassava::RealV6_木薯_sample7,Cassava
10,12,12,Cassava::RealV6_木薯_sample2,Cassava
11,3,1,Cassava::RealV6_木薯_sample6,Cassava
11,3,2,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
11,3,3,Brown rice::RealV6_糙米_sample9,Brown rice
11,6,1,Cassava::RealV6_木薯_sample6,Cassava
11,6,2,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
11,6,3,Brown rice::RealV6_糙米_sample9,Brown rice
11,6,4,Wheat::RealV6_小麦_sample5,Wheat
11,6,5,Paddy rice::RealV6_稻谷_sample5,Paddy rice
11,6,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
11,9,1,Cassava::RealV6_木薯_sample6,Cassava
11,9,2,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
11,9,3,Brown rice::RealV6_糙米_sample9,Brown rice
11,9,4,Wheat::RealV6_小麦_sample5,Wheat
11,9,5,Paddy rice::RealV6_稻谷_sample5,Paddy rice
11,9,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
11,9,7,Sorghum::RealV6_高粱_sample4,Sorghum
11,9,8,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
11,9,9,Rice bran::RealV6_米糠_sample3,Rice bran
11,12,1,Cassava::RealV6_木薯_sample6,Cassava
11,12,2,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
11,12,3,Brown rice::RealV6_糙米_sample9,Brown rice
11,12,4,Wheat::RealV6_小麦_sample5,Wheat
11,12,5,Paddy rice::RealV6_稻谷_sample5,Paddy rice
11,12,6,Paddy rice::RealV6_稻谷_sample8,Paddy rice
11,12,7,Sorghum::RealV6_高粱_sample4,Sorghum
11,12,8,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
11,12,9,Rice bran::RealV6_米糠_sample3,Rice bran
11,12,10,Wheat::RealV6_小麦_sample2,Wheat
11,12,11,Wheat::RealV6_小麦_sample9,Wheat
11,12,12,Rice bran::RealV6_米糠_sample6,Rice bran
12,3,1,Wheat::RealV6_小麦_sample9,Wheat
12,3,2,Wheat::RealV6_小麦_sample7,Wheat
12,3,3,Cassava::RealV6_木薯_sample7,Cassava
12,6,1,Wheat::RealV6_小麦_sample9,Wheat
12,6,2,Wheat::RealV6_小麦_sample7,Wheat
12,6,3,Cassava::RealV6_木薯_sample7,Cassava
12,6,4,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
12,6,5,Barley::RealV6_大麦_sample1,Barley
12,6,6,Sorghum::RealV6_高粱_sample10,Sorghum
12,9,1,Wheat::RealV6_小麦_sample9,Wheat
12,9,2,Wheat::RealV6_小麦_sample7,Wheat
12,9,3,Cassava::RealV6_木薯_sample7,Cassava
12,9,4,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
12,9,5,Barley::RealV6_大麦_sample1,Barley
12,9,6,Sorghum::RealV6_高粱_sample10,Sorghum
12,9,7,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
12,9,8,Paddy rice::RealV6_稻谷_sample1,Paddy rice
12,9,9,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
12,12,1,Wheat::RealV6_小麦_sample9,Wheat
12,12,2,Wheat::RealV6_小麦_sample7,Wheat
12,12,3,Cassava::RealV6_木薯_sample7,Cassava
12,12,4,Wheat bran::RealV6_小麦麸_sample10,Wheat bran
12,12,5,Barley::RealV6_大麦_sample1,Barley
12,12,6,Sorghum::RealV6_高粱_sample10,Sorghum
12,12,7,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
12,12,8,Paddy rice::RealV6_稻谷_sample1,Paddy rice
12,12,9,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
12,12,10,Paddy rice::RealV6_稻谷_sample9,Paddy rice
12,12,11,Wheat::RealV6_小麦_sample2,Wheat
12,12,12,Brown rice::RealV6_糙米_sample7,Brown rice
13,3,1,Wheat::RealV6_小麦_sample9,Wheat
13,3,2,Wheat::RealV6_小麦_sample4,Wheat
13,3,3,Barley::RealV6_大麦_sample2,Barley
13,6,1,Wheat::RealV6_小麦_sample9,Wheat
13,6,2,Wheat::RealV6_小麦_sample4,Wheat
13,6,3,Barley::RealV6_大麦_sample2,Barley
13,6,4,Barley::RealV6_大麦_sample4,Barley
13,6,5,Wheat::RealV6_小麦_sample7,Wheat
13,6,6,Rice bran::RealV6_米糠_sample7,Rice bran
13,9,1,Wheat::RealV6_小麦_sample9,Wheat
13,9,2,Wheat::RealV6_小麦_sample4,Wheat
13,9,3,Barley::RealV6_大麦_sample2,Barley
13,9,4,Barley::RealV6_大麦_sample4,Barley
13,9,5,Wheat::RealV6_小麦_sample7,Wheat
13,9,6,Rice bran::RealV6_米糠_sample7,Rice bran
13,9,7,Rice bran::RealV6_米糠_sample4,Rice bran
13,9,8,Sorghum::RealV6_高粱_sample9,Sorghum
13,9,9,Rice bran::RealV6_米糠_sample8,Rice bran
13,12,1,Wheat::RealV6_小麦_sample9,Wheat
13,12,2,Wheat::RealV6_小麦_sample4,Wheat
13,12,3,Barley::RealV6_大麦_sample2,Barley
13,12,4,Barley::RealV6_大麦_sample4,Barley
13,12,5,Wheat::RealV6_小麦_sample7,Wheat
13,12,6,Rice bran::RealV6_米糠_sample7,Rice bran
13,12,7,Rice bran::RealV6_米糠_sample4,Rice bran
13,12,8,Sorghum::RealV6_高粱_sample9,Sorghum
13,12,9,Rice bran::RealV6_米糠_sample8,Rice bran
13,12,10,Wheat bran::RealV6_小麦麸_sample5,Wheat bran
13,12,11,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
13,12,12,Wheat::RealV6_小麦_sample2,Wheat
14,3,1,Barley::RealV6_大麦_sample9,Barley
14,3,2,Sorghum::RealV6_高粱_sample9,Sorghum
14,3,3,Brown rice::RealV6_糙米_sample6,Brown rice
14,6,1,Barley::RealV6_大麦_sample9,Barley
14,6,2,Sorghum::RealV6_高粱_sample9,Sorghum
14,6,3,Brown rice::RealV6_糙米_sample6,Brown rice
14,6,4,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
14,6,5,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
14,6,6,Barley::RealV6_大麦_sample7,Barley
14,9,1,Barley::RealV6_大麦_sample9,Barley
14,9,2,Sorghum::RealV6_高粱_sample9,Sorghum
14,9,3,Brown rice::RealV6_糙米_sample6,Brown rice
14,9,4,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
14,9,5,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
14,9,6,Barley::RealV6_大麦_sample7,Barley
14,9,7,Cassava::RealV6_木薯_sample4,Cassava
14,9,8,Rice bran::RealV6_米糠_sample1,Rice bran
