architecture,domain,measurement_budget,endpoint,metric,value,endpoint_role,architecture_role,main_display_recommended,derivation,source_reference,budget_scope
RF,546,6,RN,R2,0.9390461782375812,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,6,TNE,R2,0.813523420500556,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,9,RN,R2,0.9362344375933848,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,9,TNE,R2,0.8115946275802512,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,12,RN,R2,0.9311205467230652,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,12,TNE,R2,0.7696247018929644,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,3,RN,R2,0.9236729795151896,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,3,TNE,R2,0.7713533155561966,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,6,RN,R2,0.9354738846907952,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,6,TNE,R2,0.8025946704679648,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,9,RN,R2,0.948251680232986,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,9,TNE,R2,0.847101459003378,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,12,RN,R2,0.9485252248744144,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,546,12,TNE,R2,0.8278366610014837,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,3,RN,R2,0.9039191336817336,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,3,TNE,R2,0.712178316635171,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,6,RN,R2,0.9393078016051224,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,6,TNE,R2,0.8143238072406424,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,9,RN,R2,0.9421613367026036,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,9,TNE,R2,0.8291065821811693,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,12,RN,R2,0.9383890943756664,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,546,12,TNE,R2,0.7939352001999239,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,3,RN,R2,0.6335285157130127,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,3,TNE,R2,0.6531123538995278,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,6,RN,R2,0.668678327702848,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,6,TNE,R2,0.6889942635544524,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,9,RN,R2,0.7142469673954386,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,9,TNE,R2,0.7321723896293735,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,12,RN,R2,0.8219858204976569,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,SOW80,12,TNE,R2,0.8222961315039647,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,3,RN,R2,0.6570222431453274,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,3,TNE,R2,0.6753506020485696,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,6,RN,R2,0.6593348624359663,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,6,TNE,R2,0.6802237195808791,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,9,RN,R2,0.717455892395567,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,9,TNE,R2,0.7351800172538623,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,12,RN,R2,0.7502460945735676,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,SOW80,12,TNE,R2,0.7506814609356118,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,3,RN,R2,0.6703403786104836,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,3,TNE,R2,0.6879570308159914,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,6,RN,R2,0.6938496970740584,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,6,TNE,R2,0.71262217842751,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,9,RN,R2,0.7419815912854291,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,9,TNE,R2,0.758167207508572,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,12,RN,R2,0.8170524476709122,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
TabM,SOW80,12,TNE,R2,0.8173713584409615,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,3,RN,R2,0.6571641084577355,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,3,TNE,R2,0.6754848862327274,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,6,RN,R2,0.6810971764303427,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,6,TNE,R2,0.7006516150567602,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,9,RN,R2,0.7330934300704373,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,9,TNE,R2,0.7498366048300892,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,12,RN,R2,0.7932625516754765,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR+RF,SOW80,12,TNE,R2,0.7936229325496881,Mass-balance-derived endpoint; not independently fitted,Primary integrated architecture,1,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
