architecture,domain,measurement_budget,endpoint,metric,value,architecture_role,endpoint_role,panel_key,can_reselect_historical_winner,budget_scope
MLR,546,3,FN,R2,0.668070567221951,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,SOW80,6,FN,R2,-0.1158836341359952,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,6,UN,R2,0.6132397151603597,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,6,FN,R2,0.4073657584096332,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,6,UN,R2,0.6654307398422139,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,6,FN,R2,-0.0868433499137211,Primary integrated architecture,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,6,UN,R2,0.6291934232390268,Primary integrated architecture,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,9,FN,R2,0.6146467623361425,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,9,UN,R2,0.7114257827785455,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,9,FN,R2,0.3916793567868686,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,9,UN,R2,0.703986765683575,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,9,FN,R2,0.3985789304399511,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,9,UN,R2,0.7674713484097514,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,9,FN,R2,0.4880711529798598,Primary integrated architecture,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,9,UN,R2,0.7301954391471014,Primary integrated architecture,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,12,FN,R2,0.4354052014566266,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,12,UN,R2,0.7966871947247195,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,12,FN,R2,0.366830273715938,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,12,UN,R2,0.7158902885652068,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,12,FN,R2,0.4115190266504526,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,12,UN,R2,0.8034658781237198,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,12,FN,R2,0.4023768887876076,Primary integrated architecture,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,12,UN,R2,0.7686041795703292,Primary integrated architecture,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
